Designator,Manufacturer Part Number,Quantity
"C212,C412",CC0402KRX7R8BB392,2
"C209,C210,C409,C410",GRM155R71C273KA01D,4
"C107,C112,C111,C104,C101,C205,C222,C220,C207,C202,C215,C304,C306,C307,C303,C313,C310,C309,C314,C315,C316,C317,C318,C321,C320,C326,C405,C422,C420,C407,C402,C415,C504,C508,C502,C506,C521,C522,C530,C531,C543,C536",302010024,42
"C102,C213,C203,C211,C219,C217,C226,C227,C228,C229,C230,C231,C413,C403,C411,C419,C417,C426,C427,C428,C429,C430,C431",302010012,23
"C214,C223,C414,C423,C512,C510,C511,C509,C527,C528,C542,C541,C540",302010053,13
"C319,C322,C323,C324,C325",302010178,5
"C525,C526,C524,C523",302010027,4
"C106,C103,C206,C201,C204,C225,C221,C208,C305,C312,C311,C308,C406,C401,C404,C425,C421,C408,C503,C507,C514,C520,C519,C518,C501,C505,C513,C517,C516,C515,C529,C532,C539,C534,C538,C537,C535,C533",302010019,38
"J501",320010000,1
"Q102,Q101,Q105,Q103,Q104,Q202,Q201,Q203,Q402,Q401,Q403",305030000,11
"Q501",305030026,1
"R504,R506,R503,R505,R507,R508,R519,R520",301010052,8
"R118,R115,R207,R234,R211,R329,R330,R331,R407,R434,R411,R515,R516,R523",RC0402FR-0733RL,14
"R124,R324",301010028,2
"R235,R435",RC0402JR-07680RL,2
"R108,R224,R210,R201,R205,R232,R228,R236,R237,R240,R327,R424,R410,R401,R405,R432,R428,R436,R437,R440",301010033,20
"R112,R113,R109,R102,R101,R225,R206,R221,R222,R233,R229,R209,R227,R244,R301,R309,R323,R319,R318,R317,R316,R315,R425,R406,R421,R422,R433,R429,R409,R427,R444,R518",301010004,32
"R214,R328,R414",RC0402FR-0713K3L,3
"R509,R510,R511,R512,R501,R513,R517,R521,R522",RC0402JR-0715KL,9
"R123,R103,R117,R213,R202,R203,R208,R230,R239,R238,R322,R302,R413,R402,R403,R408,R430,R439,R438",301010006,19
"R514,R502",301010001,2
"R223,R423",RC0402JR-07200KL,2
"R106,R220,R231,R243,R241,R242,R420,R431,R443,R441,R442",RC0402JR-0720KL,11
"R217,R417",RC0402JR-0727KL,2
"R120,R104,R105,R110,R111,R107,R114,R212,R215,R219,R226,R308,R412,R415,R419,R426",RC0402FR-072K2L,16
"R122,R116,R204,R404",RC0402FR-073K3L,4
"R216,R218,R416,R418",RC0402JR-0751KL,4
"R321,R310,R311,R312,R313,R314",RC0402FR-0788K7L,6
"U104",SN74HCT138DR,1
"U105,U111,U112,U110,U113",SN74LV1T125DBVR,5
"U109,U206,U202,U203,U406,U402,U403",SN74LVC1G3157DBVR,7
"U108,U204,U404","74LVC4066D,118",3
"U502,U501,U505",CM108B,3
"U102,U307,U308","IP4234CZ6,125",3
"U305",MCP1700T-2502E/MB,1
"U504",MCP1700T-3302E/MB,1
"U101,U208,U408",MCP23008-E/SS,3
"U301",MCP23017-E/SO,1
"U304",MCP3008-I/SL,1
"U103,U107",MCP4351-103E/ST,2
"U106,U201,U205,U401,U405",MCP6004-I/SL,5
"U207,U407",MCP6S26-I/SL,2
"U503",TUSB2036VFR,1
"Y501",ABLS-6.000MHZ-D-T,1
