Designator,Manufacturer Part Number,Quantity
"C212,C412",CC0402KRX7R8BB392,2
"C209,C210,C409,C410",GRM155R71C273KA01D,4
"C107,C112,C111,C104,C101,C205,C222,C220,C207,C202,C215,C304,C306,C307,C303,C313,C310,C309,C314,C315,C316,C317,C318,C321,C320,C326,C405,C422,C420,C407,C402,C415,C504,C508,C502,C506,C521,C522,C530,C531,C543,C536",302010024,42
"C102,C213,C203,C211,C219,C217,C226,C227,C228,C229,C230,C231,C413,C403,C411,C419,C417,C426,C427,C428,C429,C430,C431",302010012,23
"C214,C223,C414,C423,C512,C510,C511,C509,C527,C528,C542,C541,C540",302010053,13
"C319,C322,C323,C324,C325",302010178,4
"C525,C526,C524,C523",302010027,4
"C106,C103,C206,C201,C204,C225,C221,C208,C305,C312,C311,C308,C406,C401,C404,C425,C421,C408,C503,C507,C514,C520,C519,C518,C501,C505,C513,C517,C516,C515,C529,C532,C539,C534,C538,C537,C535,C533",302010019,38
"J501",320010000,1
"Q102,Q101,Q105,Q103,Q104,Q202,Q201,Q203,Q402,Q401,Q403",305030000,11
"Q501",305030026,1
